,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Denpasar,ID,75.2,few clouds,-8.65,115.22,Bali Kepundung Hotel
362,San Ramon,NI,78.8,scattered clouds,12.92,-85.84,Hotel y Restaurante Las Orquideas
381,Gulfport,US,78.8,moderate rain,30.37,-89.09,Wingate by Wyndham Gulfport
383,Kahului,US,78.8,light rain,20.89,-156.47,Maui Seaside Hotel
385,Dakar,SN,82.4,light rain,14.69,-17.45,Wakola
390,Sao Jose Da Coroa Grande,BR,76.69,light rain,-8.9,-35.15,Hotel do Sol
394,Formosa,BR,82.45,scattered clouds,-15.55,-47.33,Hotel Fama
397,Presidencia Roque Saenz Pena,AR,83.35,few clouds,-26.79,-60.44,Internacional
418,Ishigaki,JP,82.63,clear sky,24.34,124.16,GranView ISHIGAKI
427,Tabligbo,TG,80.6,few clouds,6.59,1.5,Hotel le Chateau
429,Bang Saphan,TH,80.65,overcast clouds,11.21,99.51,Hotel
432,Lagoa,PT,80.01,few clouds,37.14,-8.45,Lagoa Hotel
452,Crewe,GB,82.0,clear sky,53.1,-2.44,No57 Mirion House
459,Magione,IT,82.4,clear sky,43.14,12.2,Albergo Villa Carpine
463,Oistins,BB,84.2,scattered clouds,13.07,-59.53,The Abidah By Accra
466,Kavieng,PG,83.35,scattered clouds,-2.57,150.8,Kavieng Niu Lodge
467,Pachino,IT,86.0,few clouds,36.72,15.09,Hotel Celeste
469,Potiskum,NG,77.23,light rain,11.71,11.08,TAMIR HOTEL LIMITED
471,Jamshedpur,IN,77.41,few clouds,22.8,86.2,The Boulevard
473,Merauke,ID,75.43,broken clouds,-8.49,140.4,Coreinn
477,Sola,TZ,75.79,few clouds,-3.17,33.8,Peace hotel
479,Ciechocinek,PL,86.0,clear sky,52.88,18.79,Abrava
481,Frederick,US,77.0,scattered clouds,39.41,-77.41,Francis Scott Key Hotel
486,Bubaque,GW,80.11,light rain,11.28,-15.83,Chez Julio
491,Springfield,US,86.0,light rain,37.22,-93.29,Hotel Vandivort
494,Beyneu,KZ,76.33,overcast clouds,45.32,55.19,Бейнеу
500,Vung Tau,VN,78.13,overcast clouds,10.35,107.08,Nhà nghỉ Ngân Hàng Công Thương
503,Mechanicsville,US,78.01,light intensity drizzle,37.62,-77.34,Hampton Inn Richmond Mechanicsville
505,Roanoke Rapids,US,75.0,light rain,36.46,-77.65,Baymont by Wyndham Roanoke Rapids
512,Benito Juarez,CU,89.6,scattered clouds,22.29,-79.63,La Casona
514,Syracuse,US,75.99,clear sky,43.05,-76.15,Quality Inn & Suites Downtown
515,Kisangani,CD,78.8,broken clouds,0.52,25.21,Hotel Kisangani
520,Vardo,US,77.0,few clouds,39.62,-77.74,Sleep Inn & Suites Hagerstown
522,Port Blair,IN,81.19,moderate rain,11.67,92.75,Lighthouse Residency
528,Calama,CL,77.0,clear sky,-22.46,-68.93,Hotel Pia
532,Namatanai,PG,78.31,moderate rain,-3.66,152.44,Namatanai Hotel
538,Ternate,PH,78.8,broken clouds,14.29,120.72,Puerto Azul
541,Roma,IT,86.0,thunderstorm,41.89,12.48,47
553,Moose Factory,CA,78.8,clear sky,51.26,-80.61,Cree Village Ecolodge
554,Tananger,NO,75.2,clear sky,58.94,5.59,Hummeren hotell
557,Eyl,SO,77.05,broken clouds,7.98,49.82,Amlin Hotel
562,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Tara-Mé
