City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saldanha,-33.0117,17.9442,65.19,80,49,15.95,ZA,2022-11-29 07:00:37
68,Port Hueneme,34.1478,-119.1951,54.21,91,0,0.0,US,2022-11-29 07:01:40
69,Cayenne,4.9333,-52.3333,75.24,94,75,4.61,GF,2022-11-29 07:01:40
70,Chokurdakh,70.6333,147.9167,-18.24,97,100,8.9,RU,2022-11-29 07:01:41
71,Bethel,41.3712,-73.414,36.93,80,5,3.51,US,2022-11-29 07:01:41
72,Mecca,21.4267,39.8261,81.23,57,45,7.0,SA,2022-11-29 06:58:31
73,Puerto Escondido,15.85,-97.0667,77.25,82,100,4.32,MX,2022-11-29 07:02:42
74,Mehamn,71.0357,27.8492,35.55,80,100,12.66,NO,2022-11-29 07:03:42
75,Tasiilaq,65.6145,-37.6368,30.36,95,100,12.41,GL,2022-11-29 07:03:43
76,Barrow,71.2906,-156.7887,-5.78,77,100,13.8,US,2022-11-29 07:03:43
77,Longido,-2.7333,36.6833,73.65,59,60,12.39,TZ,2022-11-29 07:03:44
78,Paita,-5.0892,-81.1144,65.57,84,51,7.11,PE,2022-11-29 07:03:44
79,Iqaluit,63.7506,-68.5145,-13.18,88,100,20.45,CA,2022-11-29 07:03:44
80,Presidencia Roque Saenz Pena,-26.7852,-60.4388,68.7,79,0,5.12,AR,2022-11-29 07:04:45
81,Tuatapere,-46.1333,167.6833,55.02,95,100,1.68,NZ,2022-11-29 07:04:45
82,Gornopravdinsk,60.05,69.9,2.66,85,100,5.44,RU,2022-11-29 07:04:46
83,Gat,31.61,34.7642,66.4,100,100,6.46,IL,2022-11-29 07:02:54
84,Poquoson,37.1224,-76.3458,50.05,70,0,1.01,US,2022-11-29 07:04:46
85,Dikson,73.5069,80.5464,-4.22,100,94,5.26,RU,2022-11-29 07:06:47
86,Airai,-8.9266,125.4092,68.13,83,100,3.06,TL,2022-11-29 07:06:47
87,Talnakh,69.4865,88.3972,-7.96,99,100,7.47,RU,2022-11-29 07:07:48
88,Leh,34.1667,77.5833,25.29,37,92,1.66,IN,2022-11-29 07:06:12
89,Nanchong,30.7951,106.0847,55.96,64,100,12.64,CN,2022-11-29 07:08:49
90,Riyadh,24.6877,46.7219,75.34,29,100,8.1,SA,2022-11-29 07:05:38
91,Ipora,-16.4419,-51.1178,66.34,91,4,1.59,BR,2022-11-29 07:08:49
92,Tyret Pervaya,53.6703,102.3106,4.59,88,100,18.25,RU,2022-11-29 07:08:50
93,Padang,-0.9492,100.3543,82.45,75,100,5.23,ID,2022-11-29 07:08:50
94,Umm Lajj,25.0213,37.2685,75.61,77,83,7.34,SA,2022-11-29 07:08:50
95,Avarua,-21.2078,-159.775,77.05,78,75,9.22,CK,2022-11-29 07:08:51
96,Tucupita,9.0622,-62.051,71.65,99,99,2.73,VE,2022-11-29 07:08:51
97,Bataipora,-22.2953,-53.2711,65.66,93,11,4.61,BR,2022-11-29 07:09:52
98,Verkhoyansk,67.5447,133.385,-43.4,100,98,1.05,RU,2022-11-29 07:09:52
99,Walvis Bay,-22.9575,14.5053,65.08,73,100,2.08,NA,2022-11-29 07:09:52
100,Manavalakurichi,8.1333,77.3,84.25,68,97,3.74,IN,2022-11-29 07:09:53
101,Udachnyy,66.4167,112.4,-28.71,100,100,3.44,RU,2022-11-29 07:09:53
102,Isla Mujeres,21.2311,-86.731,78.85,75,6,11.74,MX,2022-11-29 07:09:53
103,Kahului,20.8947,-156.47,76.84,94,75,9.22,US,2022-11-29 07:10:54
104,Aksu,41.1231,80.2644,23.86,17,100,5.03,CN,2022-11-29 07:10:54
105,Bubaque,11.2833,-15.8333,80.35,55,1,4.72,GW,2022-11-29 07:10:57
106,Saint George,37.1041,-113.5841,36.19,55,0,3.44,US,2022-11-29 07:10:57
107,Tocache,-8.1842,-76.5125,70.48,79,82,0.02,PE,2022-11-29 07:11:58
108,Coihaique,-45.5752,-72.0662,55.35,50,20,13.8,CL,2022-11-29 07:09:24
109,Vardo,70.3705,31.1107,31.98,80,20,20.71,NO,2022-11-29 07:12:59
110,Mar Del Plata,-38.0023,-57.5575,68.09,96,0,8.99,AR,2022-11-29 07:13:59
111,Novaya Ladoga,60.1025,32.3019,24.28,92,99,7.09,RU,2022-11-29 07:14:00
112,Najran,17.4924,44.1277,70.32,26,0,10.8,SA,2022-11-29 07:15:00
113,Inirida,3.8653,-67.9239,71.71,100,100,1.81,CO,2022-11-29 07:15:00
